"Year","SF","SF_CF","MF","MF_CF","SingleFamilyDiff","MultifamilyDiff"
1973,1132,1106.07783750503,913.2,939.122162494971,25.922162494971,-25.922162494971
1974,887.9,708.52167727519,449.8,629.17832272481,179.37832272481,-179.37832272481
1975,892.2,625.959844157116,268.2,534.440155842884,266.240155842884,-266.240155842884
1976,1162.3,815.481156891086,375,721.818843108914,346.818843108914,-346.818843108914
1977,1450.9,1070.63642435522,536.2,916.463575644783,380.263575644783,-380.263575644783
1978,1433.4,1072.12422599747,586.9,948.17577400253,361.275774002531,-361.275774002531
1979,1194.1,905.788134550724,550.9,839.211865449276,288.311865449276,-288.311865449276
1980,852.1,633.241732356006,440.1,658.958267643994,218.858267643994,-218.858267643994
1981,705.3,476.161602261938,378.8,607.938397738062,229.138397738062,-229.138397738062
1982,662.6,470.9992614033,399.6,591.2007385967,191.6007385967,-191.6007385967
1983,1067.5,791.315510244051,635.5,911.684489755949,276.184489755949,-276.184489755949
1984,1084.1,786.738682952616,665.3,962.661317047384,297.361317047384,-297.361317047384
1985,1072.3,811.12722732103,669.4,930.57277267897,261.17277267897,-261.17277267897
1986,1179.5,878.375405192582,625.9,927.024594807419,301.124594807418,-301.124594807419
1987,1146.3,782.818236321308,474.3,837.781763678692,363.481763678692,-363.481763678692
1988,1081.4,713.47429414273,406.6,774.52570585727,367.92570585727,-367.92570585727
1989,1003.4,665.763538059073,372.7,710.336461940927,337.636461940927,-337.636461940927
1990,894.9,622.79211931449,297.7,569.80788068551,272.10788068551,-272.10788068551
1991,840.4,553.844163935148,173.6,460.155836064852,286.555836064852,-286.555836064852
1992,1030.1,666.834521368584,169.5,532.765478631416,363.265478631416,-363.265478631416
1993,1125.6,712.51825740498,162.1,575.18174259502,413.08174259502,-413.08174259502
1994,1198.4,769.170437521864,258.6,687.829562478136,429.229562478136,-429.229562478136
1995,1076.3,716.967205160787,277.9,637.232794839213,359.332794839213,-359.332794839213
1996,1161,777.069383245908,315.9,699.830616754092,383.930616754092,-383.930616754092
1997,1133.6,774.340833104438,340.4,699.659166895562,359.259166895562,-359.259166895562
1998,1271.4,838.571809119406,345.6,778.428190880594,432.828190880594,-432.828190880594
1999,1302.5,831.422979799528,338.7,809.777020200473,471.077020200472,-471.077020200473
2000,1230.9,747.261218351742,337.7,821.338781648258,483.638781648258,-483.638781648258
2001,1273.2,768.349207551189,329.7,834.550792448811,504.850792448811,-504.850792448811
2002,1358.5,809.577321435089,346.5,895.422678564911,548.922678564911,-548.922678564911
2003,1499.1,876.641261121535,348.6,971.058738878465,622.458738878465,-622.458738878465
2004,1610.5,913.190213887039,345.1,1042.40978611296,697.309786112961,-697.309786112961
2005,1715.8,958.733101043715,352.3,1109.36689895629,757.066898956285,-757.066898956285
2006,1465.3,823.527114287255,335.6,977.372885712745,641.772885712745,-641.772885712745
2007,1046.1,617.098319704828,309,738.001680295172,429.001680295172,-429.001680295172
2008,622,411.412582485733,283.5,494.087417514267,210.587417514267,-210.587417514267
2009,445,256.745408196002,108.9,297.154591803998,188.254591803998,-188.254591803998
2010,471.1,262.127587861241,115.8,324.772412138759,208.972412138759,-208.972412138759
2011,430.5,265.198741761482,178.3,343.601258238518,165.301258238518,-165.301258238518
2012,535.3,341.846162421924,245.3,438.753837578076,193.453837578076,-193.453837578076
2013,617.7,395.374180906748,307.2,529.525819093252,222.325819093252,-222.325819093252
2014,647.8,429.251601410277,355.5,574.048398589723,218.548398589723,-218.548398589723
2015,714.6,469.201192889978,397.3,642.698807110022,245.398807110022,-245.398807110022
2016,781.5,488.143453093191,392.2,685.556546906809,293.356546906809,-293.356546906809
2017,848.9,474.178777594575,354,728.721222405425,374.721222405425,-374.721222405425
2018,875.7,474.883726078191,374.3,775.116273921809,400.816273921809,-400.816273921809
